日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值
2026-04-08,=45.6400,=45.6400,=45.6400,=45.6400,=158038970044.2001,=94714291564.0,=39696224983.8,,=17.2759,,,,
2026-04-07,=42.8400,=42.8400,=42.8400,=42.8400,=148343327710.2001,=88903598830.0,=37260873757.8,,=16.2160,,,,
2026-04-03,=42.4600,=42.4600,=42.4600,=42.4600,=147027490536.3001,=88115004816.0,=36930361805.7,,=16.0722,,,,
2026-04-02,=43.2600,=43.2600,=43.2600,=43.2600,=149797674060.3001,=89775202740.0,=37626176441.7,,=16.3750,,,,
2026-04-01,=44.5500,=44.5500,=44.5500,=44.5500,=154264594992.75,=92452271893.0,=38748177542.25,,=16.8633,,,,
2026-03-31,=43.0000,=43.0000,=43.0000,=43.0000,=148897364415.0,=89235638415.0,=37400036685.0,,=16.2766,,,,
2026-03-30,=43.7800,=43.7800,=43.7800,=43.7800,=151598293350.9001,=90854331391.0,=38078455955.1,,=16.5718,,,,
2026-03-27,=43.8900,=43.8900,=43.8900,=43.8900,=151979193585.4501,=91082608605.0,=38174130467.55,,=16.6135,,,,
2026-03-26,=44.2100,=44.2100,=44.2100,=44.2100,=153087266995.0501,=91746687775.0,=38452456321.95,,=17.8564,,,,
2026-03-25,=44.7400,=44.7400,=44.7400,=44.7400,=154922513579.7001,=92846568900.0,=38913433518.3,,=18.0705,,,,
2026-03-24,=43.7300,=43.7300,=43.7300,=43.7300,=151425156880.65,=90750569021.0,=38034967540.35,,=17.6626,,,,
2026-03-23,=42.4500,=42.4500,=42.4500,=42.4500,=146992863242.2501,=88094252342.0,=36921664122.75,,=17.1456,,,,
