日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值
2026-05-26,=18.8800,=18.8800,=18.8800,=18.8800,=173601683770.56,=159996483899.0,=113172417606.4,,=1.9175,,,,
2026-05-25,=18.8300,=18.8300,=18.8300,=18.8300,=173141933548.71,=159572764397.0,=112872702517.4,,=1.9124,,,,
2026-05-22,=18.9600,=18.9600,=18.9600,=18.9600,=174337284125.52,=160674435102.0,=113651961748.8,,=1.9256,,,,
2026-05-21,=18.9600,=18.9600,=18.9600,=18.9600,=174337284125.52,=160674435102.0,=113651961748.8,,=1.9256,,,,
2026-05-20,=19.4000,=19.4000,=19.4000,=19.4000,=178383086077.8,=164403166718.0,=116289454532.0,,=1.9703,,,,
2026-05-19,=19.3100,=19.3100,=19.3100,=19.3100,=177555535678.47,=163640471614.0,=115749967371.8,,=1.9612,,,,
2026-05-18,=19.3900,=19.3900,=19.3900,=19.3900,=178291136033.43,=164318422817.0,=116229511514.2,,=1.9693,,,,
2026-05-15,=20.4600,=20.4600,=20.4600,=20.4600,=188129790781.02,=173386020157.0,=122643414418.8,,=2.0780,,,,
2026-05-14,=20.6100,=20.6100,=20.6100,=20.6100,=189509041446.57,=174657178663.0,=123542559685.8,,=2.0932,,,,
2026-05-13,=21.3900,=21.3900,=21.3900,=21.3900,=196681144907.43,=181267202891.0,=128218115074.2,,=2.1724,,,,
2026-05-12,=21.3600,=21.3600,=21.3600,=21.3600,=196405294774.32,=181012971190.0,=128038286020.8,,=2.1694,,,,
2026-05-11,=21.8400,=21.8400,=21.8400,=21.8400,=200818896904.08,=185080678408.0,=130915550875.2,,=2.2181,,,,
2026-05-08,=20.5300,=20.5300,=20.5300,=20.5300,=188773441091.61,=173979227460.0,=123063015543.4,,=2.0851,,,,
2026-05-07,=20.9800,=20.9800,=20.9800,=20.9800,=192911193088.26,=177792702976.0,=125760451344.4,,=2.1308,,,,
2026-05-06,=20.9100,=20.9100,=20.9100,=20.9100,=192267542777.67,=177199495674.0,=125340850219.8,,=2.1237,,,,
