日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PS-TTM,PS-TTM 分位点,PS-TTM 80%分位点值,PS-TTM 50%分位点值,PS-TTM 20%分位点值
2026-01-26,=388.6300,=388.6300,=388.6300,=388.6300,=386301838922.56,=344100437269.0,=330075923918.62,,=19.2947,,,,
2026-01-23,=383.0200,=383.0200,=383.0200,=383.0200,=380725446682.24,=339133235939.0,=325311170983.48,,=19.0161,,,,
2026-01-22,=409.7000,=409.7000,=409.7000,=409.7000,=407245615126.4,=362756218380.0,=347971350717.8,,=20.3407,,,,
2026-01-21,=394.8000,=394.8000,=394.8000,=394.8000,=392434876377.6001,=349563473314.0,=335316302815.2,,=19.6010,,,,
2026-01-20,=382.5600,=382.5600,=382.5600,=382.5600,=380268202398.7201,=338725943138.0,=324920478229.44,,=18.9933,,,,
2026-01-19,=403.1800,=403.1800,=403.1800,=403.1800,=400764674412.1601,=356983285640.0,=342433705595.32,,=20.0170,,,,
2026-01-16,=397.1900,=397.1900,=397.1900,=397.1900,=394810558633.28,=351679625039.0,=337346206472.06,,=19.7196,,,,
2026-01-15,=400.0000,=400.0000,=400.0000,=400.0000,=397603724800.0,=354167652800.0,=339732829600.0,,=19.8591,,,,
2026-01-14,=383.9700,=383.9700,=383.9700,=383.9700,=381669755528.64,=339974384114.0,=326118036453.78,,=19.0633,,,,
2026-01-13,=383.2000,=383.2000,=383.2000,=383.2000,=380904368358.4,=339292611382.0,=325464050756.8,,=19.0251,,,,
2026-01-12,=391.3500,=391.3500,=391.3500,=391.3500,=389005544251.2,=346508777308.0,=332386107159.9,,=19.4297,,,,
2026-01-09,=398.2200,=398.2200,=398.2200,=398.2200,=395834388224.64,=352591606745.0,=338221018508.28,,=19.7708,,,,
2026-01-08,=410.3400,=410.3400,=410.3400,=410.3400,=407881781086.08,=363322886625.0,=348514923245.16,,=20.3725,,,,
2026-01-07,=420.3000,=420.3000,=420.3000,=420.3000,=417782113833.6001,=372141661180.0,=356974270702.2,,=20.8670,,,,
2026-01-06,=417.5500,=417.5500,=417.5500,=417.5500,=415048588225.6001,=369706758567.0,=354638607498.7,,=20.7305,,,,
