date,stockCode,融资净买入金额
2026-03-03T00:00:00+08:00,002475,16456981
2026-03-04T00:00:00+08:00,002475,229701729
2026-03-05T00:00:00+08:00,002475,-355521389
2026-03-06T00:00:00+08:00,002475,-53593198
2026-03-09T00:00:00+08:00,002475,-26257272
2026-03-10T00:00:00+08:00,002475,22580968
2026-03-11T00:00:00+08:00,002475,66394412
2026-03-12T00:00:00+08:00,002475,-186720960
2026-03-13T00:00:00+08:00,002475,-62715732
2026-03-16T00:00:00+08:00,002475,115341936
2026-03-17T00:00:00+08:00,002475,-116136577
2026-03-18T00:00:00+08:00,002475,4479305
2026-03-19T00:00:00+08:00,002475,20618116
2026-03-20T00:00:00+08:00,002475,-85726366
2026-03-23T00:00:00+08:00,002475,-52501735
2026-03-24T00:00:00+08:00,002475,113023069
2026-03-25T00:00:00+08:00,002475,1231029300
2026-03-26T00:00:00+08:00,002475,-197885813
2026-03-27T00:00:00+08:00,002475,-418832605
2026-03-30T00:00:00+08:00,002475,-220937229
2026-03-31T00:00:00+08:00,002475,-71316914
2026-04-01T00:00:00+08:00,002475,37043929
2026-04-02T00:00:00+08:00,002475,-102365621
2026-04-03T00:00:00+08:00,002475,-87721273
2026-04-07T00:00:00+08:00,002475,986239
2026-04-08T00:00:00+08:00,002475,85935353
2026-04-09T00:00:00+08:00,002475,500475724
2026-04-10T00:00:00+08:00,002475,1281225689
2026-04-13T00:00:00+08:00,002475,-22561958
2026-04-14T00:00:00+08:00,002475,-496831766
2026-04-15T00:00:00+08:00,002475,-764575835
