日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值
2025-10-13,=7.6500,=7.6500,=7.6500,=7.6500,=219546310273.2,=186107655067.0,=74512681454.7,,=1.2944,,,,
2025-10-10,=7.7300,=7.7300,=7.7300,=7.7300,=221842219400.24,=188053878911.0,=75291899038.54,,=1.3079,,,,
2025-10-09,=7.7900,=7.7900,=7.7900,=7.7900,=223564151245.52,=189513546794.0,=75876312226.42,,=1.3181,,,,
2025-09-30,=7.4700,=7.4700,=7.4700,=7.4700,=214380514737.36,=181728651419.0,=72759441891.06,,=1.2639,,,,
2025-09-29,=7.3400,=7.3400,=7.3400,=7.3400,=210649662405.92,=178566037672.0,=71493213317.32,,=1.2419,,,,
2025-09-26,=7.3200,=7.3200,=7.3200,=7.3200,=210075685124.16,=178079481711.0,=71298408921.36,,=1.2385,,,,
2025-09-25,=7.3900,=7.3900,=7.3900,=7.3900,=212084605610.32,=179782427575.0,=71980224307.22,,=1.2504,,,,
2025-09-24,=7.4500,=7.4500,=7.4500,=7.4500,=213806537455.6,=181242095458.0,=72564637495.1,,=1.2605,,,,
2025-09-23,=7.4900,=7.4900,=7.4900,=7.4900,=214954492019.12,=182215207380.0,=72954246287.02,,=1.2673,,,,
2025-09-22,=7.4800,=7.4800,=7.4800,=7.4800,=214667503378.24,=181971929399.0,=72856844089.04,,=1.2656,,,,
2025-09-19,=7.5200,=7.5200,=7.5200,=7.5200,=215815457941.76,=182945041321.0,=73246452880.96,,=1.2724,,,,
2025-09-18,=7.4900,=7.4900,=7.4900,=7.4900,=214954492019.12,=182215207380.0,=72954246287.02,,=1.2673,,,,
2025-09-17,=7.6400,=7.6400,=7.6400,=7.6400,=219259321632.32,=185864377087.0,=74415279256.72,,=1.2927,,,,
2025-09-16,=7.6400,=7.6400,=7.6400,=7.6400,=219259321632.32,=185864377087.0,=74415279256.72,,=1.2927,,,,
2025-09-15,=7.6800,=7.6800,=7.6800,=7.6800,=220407276195.84,=186837489009.0,=74804888048.64,,=1.2995,,,,
2025-09-12,=7.7300,=7.7300,=7.7300,=7.7300,=221842219400.24,=188053878911.0,=75291899038.54,,=1.3079,,,,
2025-09-11,=7.7600,=7.7600,=7.7600,=7.7600,=222703185322.88,=188783712852.0,=75584105632.48,,=1.3130,,,,
2025-09-10,=7.6000,=7.6000,=7.6000,=7.6000,=218111367068.8,=184891265165.0,=74025670464.8,,=1.2859,,,,
2025-09-09,=7.6100,=7.6100,=7.6100,=7.6100,=218398355709.68,=185134543145.0,=74123072662.78,,=1.2876,,,,
2025-09-08,=7.6200,=7.6200,=7.6200,=7.6200,=218685344350.56,=185377821126.0,=74220474860.76,,=1.2893,,,,
2025-09-05,=7.4900,=7.4900,=7.4900,=7.4900,=214954492019.12,=182215207380.0,=72954246287.02,,=1.2673,,,,
2025-09-04,=7.4700,=7.4700,=7.4700,=7.4700,=214380514737.36,=181728651419.0,=72759441891.06,,=1.2639,,,,
2025-09-03,=7.5100,=7.5100,=7.5100,=7.5100,=215528469300.88,=182701763340.0,=73149050682.98,,=1.2707,,,,
2025-09-02,=7.6100,=7.6100,=7.6100,=7.6100,=218398355709.68,=185134543145.0,=74123072662.78,,=1.2876,,,,
2025-09-01,=7.5900,=7.5900,=7.5900,=7.5900,=217824378427.92,=184647987184.0,=73928268266.82,,=1.2842,,,,
2025-08-29,=7.6700,=7.6700,=7.6700,=7.6700,=220120287554.96,=186594211028.0,=74707485850.66,,=1.2978,,,,
2025-08-28,=7.6600,=7.6600,=7.6600,=7.6600,=219833298914.08,=186350933048.0,=74610083652.68,,=1.2961,,,,
2025-08-27,=7.6000,=7.6000,=7.6000,=7.6000,=218111367068.8,=184891265165.0,=74025670464.8,,=1.2859,,,,
2025-08-26,=7.8000,=7.8000,=7.8000,=7.8000,=223851139886.4,=189756824774.0,=75973714424.4,,=1.3198,,,,
2025-08-25,=7.9100,=7.9100,=7.9100,=7.9100,=227008014936.08,=192432882560.0,=77045138602.18,,=1.3384,,,,
2025-08-22,=7.6700,=7.6700,=7.6700,=7.6700,=220120287554.96,=186594211028.0,=74707485850.66,,=1.3331,,,,
2025-08-21,=7.6100,=7.6100,=7.6100,=7.6100,=218398355709.68,=185134543145.0,=74123072662.78,,=1.3227,,,,
2025-08-20,=7.3700,=7.3700,=7.3700,=7.3700,=211510628328.56,=179295871614.0,=71785419911.26,,=1.2810,,,,
2025-08-19,=7.1900,=7.1900,=7.1900,=7.1900,=206344832792.72,=174916867965.0,=70032180347.62,,=1.2497,,,,
2025-08-18,=7.2600,=7.2600,=7.2600,=7.2600,=208353753278.88,=176619813828.0,=70713995733.48,,=1.2619,,,,
2025-08-15,=7.2500,=7.2500,=7.2500,=7.2500,=208066764638.0,=176376535848.0,=70616593535.5,,=1.2601,,,,
2025-08-14,=7.3100,=7.3100,=7.3100,=7.3100,=209788696483.28,=177836203731.0,=71201006723.38,,=1.2705,,,,
2025-08-13,=7.5400,=7.5400,=7.5400,=7.5400,=216389435223.52,=183431597282.0,=73441257276.92,,=1.2644,,,,
2025-08-12,=7.5500,=7.5500,=7.5500,=7.5500,=216676423864.4,=183674875262.0,=73538659474.9,,=1.2660,,,,
2025-08-11,=7.5000,=7.5000,=7.5000,=7.5000,=215241480660.0,=182458485360.0,=73051648485.0,,=1.2577,,,,
2025-08-08,=7.4800,=7.4800,=7.4800,=7.4800,=214667503378.24,=181971929399.0,=72856844089.04,,=1.2543,,,,
2025-08-07,=7.4100,=7.4100,=7.4100,=7.4100,=212658582892.08,=180268983536.0,=72175028703.18,,=1.2426,,,,
2025-08-06,=7.4200,=7.4200,=7.4200,=7.4200,=212945571532.96,=180512261516.0,=72272430901.16,,=1.2442,,,,
2025-08-05,=7.3800,=7.3800,=7.3800,=7.3800,=211797616969.44,=179539149594.0,=71882822109.24,,=1.2375,,,,
