date,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,股息率,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,市值(元),理杏仁前复权(港币),前复权(港币),后复权(港币),股价(港币),市值(港币),PEG
2025-11-11,28.0556,0.2558,41.371,36.107,27.3828,0,5.0701,0.2674,7.3923,6.4517,4.9485,6.8,0.2326,12.2726,10.7445,6.6826,,417.0,417.0,417.0,417.0,158301039600.0,0.8767
2025-11-10,28.2574,0.2749,41.371,36.1634,27.3828,0,5.1065,0.2807,7.3923,6.4618,4.9485,6.8489,0.2456,12.2726,10.7492,6.6826,,420.0,420.0,420.0,420.0,159439896000.0,0.883
2025-11-07,25.9296,0.0353,41.371,36.2197,27.3828,0,4.6859,0.0353,7.3923,6.4719,4.9485,6.2847,0.0176,12.2726,10.754,6.6826,,385.4,385.4,385.4,385.4,146305085520.0,0.8103
2025-11-06,26.9522,0.142,41.371,36.2358,27.4366,0,4.8707,0.1479,7.3923,6.4747,4.9582,6.5325,0.1243,12.2726,10.7548,6.6858,,400.6,400.6,400.6,400.6,152075291280.0,0.8422
2025-11-05,26.9522,0.1429,41.371,36.2519,27.5174,0,4.8707,0.1488,7.3923,6.4776,4.9728,6.5325,0.125,12.2726,10.7556,6.6989,,400.6,400.6,400.6,400.6,152075291280.0,0.8422
2025-11-04,26.5082,0.0778,41.371,36.4371,27.5174,0,4.7904,0.0778,7.3923,6.5107,4.9728,6.4249,0.0599,12.2726,10.8097,6.6989,,394.0,394.0,394.0,394.0,149569807200.0,0.8284
2025-11-03,27.0464,0.1446,41.371,36.6222,27.5443,0,4.8877,0.1506,7.3923,6.5438,4.9777,6.5554,0.1265,12.2726,10.8638,6.7021,,402.0,402.0,402.0,402.0,152606757600.0,0.8452
2025-10-31,27.8134,0.2242,41.371,36.6222,27.5712,0,5.0263,0.2242,7.3923,6.5438,4.9825,6.7413,0.2,12.2726,10.8638,6.7413,,413.4,413.4,413.4,413.4,156934411920.0,0.8692
2025-10-30,27.6519,0.2195,41.371,36.6222,27.5712,0,4.9971,0.2195,7.3923,6.5438,4.9825,6.7021,0.1951,12.2726,10.8638,6.7935,,411.0,411.0,411.0,411.0,156023326800.0,0.8641
2025-10-28,26.4813,0.0675,41.371,36.7349,27.5712,0,4.7856,0.0675,7.3923,6.5639,4.9825,6.4184,0.0491,12.2726,10.8973,6.8293,,393.6,393.6,393.6,393.6,149417959680.0,0.8275
2025-10-27,26.8715,0.1111,41.371,36.8475,27.5712,0,4.8561,0.1173,7.3923,6.584,4.9825,6.513,0.0926,12.2726,10.9307,6.8293,,399.4,399.4,399.4,399.4,151619748720.0,0.8397
2025-10-24,26.5216,0.0745,41.371,36.9193,27.5846,0,4.7928,0.0745,7.3923,6.5984,4.985,6.4282,0.0559,12.2726,10.9546,6.8326,,394.2,394.2,394.2,394.2,149645730960.0,0.8288
2025-10-23,26.9118,0.1063,41.371,36.991,27.6385,0,4.8634,0.1125,7.3923,6.6128,4.9947,6.5228,0.0875,12.2726,10.9785,6.8652,,400.0,400.0,400.0,400.0,151847520000.0,0.841
2025-10-22,28.1767,0.2075,41.371,36.9998,28.0287,0,5.0919,0.2201,7.3923,6.6135,5.0495,6.8293,0.1824,12.2726,10.9856,6.9924,,418.8,418.8,418.8,418.8,158984353440.0,0.8805
2025-10-21,27.5443,0.1772,41.371,37.0085,28.0287,0,4.9777,0.1772,7.3923,6.6141,5.0495,6.676,0.1519,12.2726,10.9928,7.0413,,409.4,409.4,409.4,409.4,155415936720.0,0.8607
2025-10-20,28.3247,0.2229,41.4112,37.0327,28.0287,0,5.1187,0.2229,7.3995,6.6178,5.0495,6.8652,0.1847,12.2845,11.0143,7.0413,,421.0,421.0,421.0,421.0,159819514800.0,0.8852
2025-10-17,28.8495,0.2244,41.4112,37.0568,28.0287,0,5.2135,0.2244,7.3995,6.6214,5.0495,6.9924,0.1859,12.2845,11.0358,7.0439,,428.8,428.8,428.8,428.8,162780541440.0,0.9015
