日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PB,PB 分位点,PB 80%分位点值,PB 50%分位点值,PB 20%分位点值
2026-04-30,=13.6300,=13.6300,=13.6300,=13.6300,=109101256791.06,=101600470633.0,=35225872820.72,,=1.5808,,,,
2026-04-29,=13.6100,=13.6100,=13.6100,=13.6100,=108941166905.82,=101451387037.0,=35174184085.84,,=1.6439,,,,
2026-04-28,=13.6000,=13.6000,=13.6000,=13.6000,=108861121963.2,=101376845239.0,=35148339718.4,,=1.6426,,,,
2026-04-27,=13.4000,=13.4000,=13.4000,=13.4000,=107260223110.8,=99886009280.0,=34631452369.6,,=1.6185,,,,
2026-04-24,=13.3700,=13.3700,=13.3700,=13.3700,=107020088282.94,=99662383886.0,=34553919267.28,,=1.6149,,,,
2026-04-23,=13.5100,=13.5100,=13.5100,=13.5100,=108140717479.62,=100705969057.0,=34915740411.44,,=1.6318,,,,
2026-04-22,=13.5100,=13.5100,=13.5100,=13.5100,=108140717479.62,=100705969057.0,=34915740411.44,,=1.6318,,,,
2026-04-21,=13.6700,=13.6700,=13.6700,=13.6700,=109421436561.54,=101898637825.0,=35329250290.48,,=1.6511,,,,
2026-04-20,=13.4100,=13.4100,=13.4100,=13.4100,=107340268053.42,=99960551078.0,=34657296737.04,,=1.6197,,,,
2026-04-17,=13.2000,=13.2000,=13.2000,=13.2000,=105659324258.4,=98395173320.0,=34114565020.8,,=1.5943,,,,
2026-04-16,=13.3300,=13.3300,=13.3300,=13.3300,=106699908512.46,=99364216694.0,=34450541797.52,,=1.6100,,,,
2026-04-15,=13.3800,=13.3800,=13.3800,=13.3800,=107100133225.56,=99736925684.0,=34579763634.72,,=1.6161,,,,
2026-04-14,=13.2200,=13.2200,=13.2200,=13.2200,=105819414143.64,=98544256916.0,=34166253755.68,,=1.5967,,,,
2026-04-13,=13.2900,=13.2900,=13.2900,=13.2900,=106379728741.98,=99066049502.0,=34347164327.76,,=1.6052,,,,
2026-04-10,=13.4100,=13.4100,=13.4100,=13.4100,=107340268053.42,=99960551078.0,=34657296737.04,,=1.6197,,,,
2026-04-09,=13.4600,=13.4600,=13.4600,=13.4600,=107740492766.52,=100333260068.0,=34786518574.24,,=1.6257,,,,
2026-04-08,=13.5400,=13.5400,=13.5400,=13.5400,=108380852307.48,=100929594451.0,=34993273513.76,,=1.6354,,,,
2026-04-07,=13.4500,=13.4500,=13.4500,=13.4500,=107660447823.9,=100258718270.0,=34760674206.8,,=1.6245,,,,
2026-04-03,=13.8500,=13.8500,=13.8500,=13.8500,=110862245528.7,=103240390188.0,=35794448904.4,,=1.6728,,,,
2026-04-02,=14.1500,=14.1500,=14.1500,=14.1500,=113263593807.3,=105476644128.0,=36569779927.6,,=1.7091,,,,
2026-04-01,=14.0100,=14.0100,=14.0100,=14.0100,=112142964610.62,=104433058956.0,=36207958783.44,,=1.6922,,,,
2026-03-31,=14.1600,=14.1600,=14.1600,=14.1600,=113343638749.92,=105551185926.0,=36595624295.04,,=1.7103,,,,
2026-03-30,=14.3900,=14.3900,=14.3900,=14.3900,=115184672430.18,=107265647279.0,=37190044746.16,,=1.7381,,,,
2026-03-27,=14.6400,=14.6400,=14.6400,=14.6400,=117185795995.68,=109129192228.0,=37836153932.16,,=1.7683,,,,
2026-03-26,=14.8800,=14.8800,=14.8800,=14.8800,=119106874618.56,=110918195379.0,=38456418750.72,,=1.7972,,,,
2026-03-25,=14.6800,=14.6800,=14.6800,=14.6800,=117505975766.16,=109427359420.0,=37939531401.92,,=1.7731,,,,
2026-03-24,=14.4700,=14.4700,=14.4700,=14.4700,=115825031971.14,=107861981663.0,=37396799685.68,,=1.7477,,,,
2026-03-23,=14.1400,=14.1400,=14.1400,=14.1400,=113183548864.68,=105402102330.0,=36543935560.16,,=1.7079,,,,
2026-03-20,=14.5100,=14.5100,=14.5100,=14.5100,=116145211741.62,=108160148854.0,=37500177155.44,,=1.7526,,,,
2026-03-19,=14.5600,=14.5600,=14.5600,=14.5600,=116545436454.72,=108532857844.0,=37629398992.64,,=1.7586,,,,
2026-03-18,=14.5700,=14.5700,=14.5700,=14.5700,=116625481397.34,=108607399642.0,=37655243360.08,,=1.7598,,,,
2026-03-17,=14.6700,=14.6700,=14.6700,=14.6700,=117425930823.54,=109352817622.0,=37913687034.48,,=1.7719,,,,
2026-03-16,=14.5600,=14.5600,=14.5600,=14.5600,=116545436454.72,=108532857844.0,=37629398992.64,,=1.7586,,,,
2026-03-13,=14.7800,=14.7800,=14.7800,=14.7800,=118306425192.36,=110172777400.0,=38197975076.32,,=1.7852,,,,
2026-03-12,=15.0100,=15.0100,=15.0100,=15.0100,=120147458872.62,=111887238753.0,=38792395527.44,,=1.8129,,,,
2026-03-11,=14.6500,=14.6500,=14.6500,=14.6500,=117265840938.3,=109203734026.0,=37861998299.6,,=1.7695,,,,
2026-03-10,=14.3800,=14.3800,=14.3800,=14.3800,=115104627487.56,=107191105481.0,=37164200378.72,,=1.7369,,,,
2026-03-09,=14.0200,=14.0200,=14.0200,=14.0200,=112223009553.24,=104507600754.0,=36233803150.88,,=1.6934,,,,
2026-03-06,=13.8500,=13.8500,=13.8500,=13.8500,=110862245528.7,=103240390188.0,=35794448904.4,,=1.6728,,,,
2026-03-05,=13.7300,=13.7300,=13.7300,=13.7300,=109901706217.26,=102345888613.0,=35484316495.12,,=1.6583,,,,
2026-03-04,=13.5600,=13.5600,=13.5600,=13.5600,=108540942192.72,=101078678047.0,=35044962248.64,,=1.6378,,,,
2026-03-03,=13.6000,=13.6000,=13.6000,=13.6000,=108861121963.2,=101376845239.0,=35148339718.4,,=1.6426,,,,
2026-03-02,=13.4600,=13.4600,=13.4600,=13.4600,=107740492766.52,=100333260068.0,=34786518574.24,,=1.6257,,,,
2026-02-27,=13.2500,=13.2500,=13.2500,=13.2500,=106059548971.5,=98767882310.0,=34243786858.0,,=1.6004,,,,
2026-02-26,=13.0900,=13.0900,=13.0900,=13.0900,=104778829889.58,=97575213543.0,=33830276978.96,,=1.5810,,,,
2026-02-25,=12.9700,=12.9700,=12.9700,=12.9700,=103818290578.14,=96680711967.0,=33520144569.68,,=1.5666,,,,
2026-02-24,=13.0000,=13.0000,=13.0000,=13.0000,=104058425406.0,=96904337361.0,=33597677672.0,,=1.5702,,,,
2026-02-13,=12.7800,=12.7800,=12.7800,=12.7800,=102297436668.36,=95264417806.0,=33029101588.32,,=1.5436,,,,
2026-02-12,=12.8700,=12.8700,=12.8700,=12.8700,=103017841151.94,=95935293987.0,=33261700895.28,,=1.5545,,,,
2026-02-11,=12.9700,=12.9700,=12.9700,=12.9700,=103818290578.14,=96680711967.0,=33520144569.68,,=1.5666,,,,
2026-02-10,=13.0200,=13.0200,=13.0200,=13.0200,=104218515291.24,=97053420957.0,=33649366406.88,,=1.5726,,,,
2026-02-09,=13.0900,=13.0900,=13.0900,=13.0900,=104778829889.58,=97575213543.0,=33830276978.96,,=1.5810,,,,
2026-02-06,=13.0700,=13.0700,=13.0700,=13.0700,=104618740004.34,=97426129947.0,=33778588244.08,,=1.5786,,,,
2026-02-05,=13.0700,=13.0700,=13.0700,=13.0700,=104618740004.34,=97426129947.0,=33778588244.08,,=1.5786,,,,
2026-02-04,=13.0400,=13.0400,=13.0400,=13.0400,=104378605176.48,=97202504553.0,=33701055141.76,,=1.5750,,,,
2026-02-03,=12.8200,=12.8200,=12.8200,=12.8200,=102617616438.84,=95562584998.0,=33132479058.08,,=1.5484,,,,
2026-02-02,=12.8500,=12.8500,=12.8500,=12.8500,=102857751266.7,=95786210391.0,=33210012160.4,,=1.5521,,,,
2026-01-30,=12.7500,=12.7500,=12.7500,=12.7500,=102057301840.5,=95040792412.0,=32951568486.0,,=1.5400,,,,
2026-01-29,=13.0000,=13.0000,=13.0000,=13.0000,=104058425406.0,=96904337361.0,=33597677672.0,,=1.5702,,,,
2026-01-28,=12.8700,=12.8700,=12.8700,=12.8700,=103017841151.94,=95935293987.0,=33261700895.28,,=1.5545,,,,
